%%% Global Ocean Heat Content estimate from 1993 to 2022 (Monthly)  v1.1.2
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]
1993	1	-4.34 	2.17 	-5.70 	3.93 	-7.14 	1.38 	-7.33 	4.38 
1993	2	-4.40 	1.61 	-5.76 	2.85 	-7.20 	1.56 	-7.39 	3.47 
1993	3	-4.38 	1.34 	-5.70 	2.34 	-7.14 	1.44 	-7.35 	3.71 
1993	4	-4.38 	1.29 	-5.76 	2.17 	-7.19 	1.35 	-7.42 	2.12 
1993	5	-4.34 	1.28 	-5.66 	2.73 	-7.05 	1.67 	-7.27 	1.54 
1993	6	-4.37 	1.42 	-5.74 	3.04 	-7.12 	1.53 	-7.37 	1.80 
1993	7	-4.39 	1.81 	-5.78 	3.17 	-7.15 	1.98 	-7.40 	3.18 
1993	8	-4.37 	1.43 	-5.83 	3.26 	-7.20 	2.10 	-7.43 	2.61 
1993	9	-4.37 	1.61 	-5.83 	3.66 	-7.18 	2.89 	-7.34 	3.02 
1993	10	-4.38 	1.49 	-5.86 	3.19 	-7.24 	2.35 	-7.35 	2.50 
1993	11	-4.32 	1.77 	-5.82 	3.35 	-7.21 	2.90 	-7.29 	1.50 
1993	12	-4.28 	1.80 	-5.87 	3.10 	-7.27 	2.14 	-7.34 	1.11 
1994	1	-4.25 	1.54 	-5.85 	2.85 	-7.25 	1.72 	-7.29 	2.32 
1994	2	-4.21 	1.25 	-5.81 	2.35 	-7.21 	2.10 	-7.26 	1.97 
1994	3	-4.25 	1.21 	-5.87 	2.15 	-7.31 	2.14 	-7.31 	3.25 
1994	4	-4.27 	1.06 	-5.78 	2.01 	-7.26 	2.06 	-7.23 	2.21 
1994	5	-4.37 	1.34 	-5.98 	3.14 	-7.53 	2.12 	-7.51 	2.28 
1994	6	-4.33 	1.43 	-5.81 	4.15 	-7.36 	2.68 	-7.29 	1.60 
1994	7	-4.28 	1.78 	-5.71 	4.20 	-7.24 	2.74 	-7.17 	2.90 
1994	8	-4.29 	1.93 	-5.69 	3.84 	-7.20 	2.82 	-7.17 	3.16 
1994	9	-4.24 	1.70 	-5.62 	4.48 	-7.16 	3.10 	-7.16 	3.12 
1994	10	-4.22 	2.01 	-5.56 	4.33 	-7.07 	3.91 	-7.13 	2.61 
1994	11	-4.25 	2.07 	-5.62 	3.37 	-7.17 	2.91 	-7.20 	1.88 
1994	12	-4.28 	2.21 	-5.62 	3.17 	-7.17 	1.65 	-7.15 	1.90 
1995	1	-4.22 	2.14 	-5.59 	2.95 	-7.15 	1.04 	-7.11 	2.93 
