%%% Global Ocean Heat Content estimate from 1993 to 2024 (Monthly)  v1.1.4
%%%Deep ocean remote sensing (DORS) retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su ... Lu*, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% v1.1.4 Update date: Oct. 2025 by Wenfang Lu (extended to 2024), updating ADT data to 1/8-degree dt product since 2023
%%% v1.1.3 Update date: Apr. 2024 by Wenfang Lu (extended to 2023), corrected 2018-2022 bias due to input data
%%% v1.1.2 Update date: Aug. 2023 by Wenfang Lu (extended to 2022)
%%% v1.1.1 Update date: Dec. 2020 by HaoJie Zhang and Wenfang Lu; %%% Note: This version is based on v1.0.1, we increase the number of neurons to improve
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 /sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
%%%
[year]	[month]	 [OHC0-300m]	[Error]	[OHC0-700m]	[Error]	[OHC0-1500m]	[Error]	[OHC0-2000m]	[Error]		
1993	1	-4.25	1.54	-5.68	4.02	-7.04	1.44	-7.22	4.4		
1993	2	-4.31	1.49	-5.74 	2.90 	-7.10 	1.58 	-7.29 	3.50 		
1993	3	-4.3	1.29	-5.68 	2.44 	-7.05 	1.50 	-7.25 	3.64 		
1993	4	-4.31	1.01	-5.74 	2.26 	-7.10 	1.41 	-7.32 	2.15 		
1993	5	-4.27	0.76	-5.65 	2.78 	-6.96 	1.77 	-7.18 	1.52 		
1993	6	-4.29	0.84	-5.73 	3.11 	-7.03 	1.69 	-7.27 	1.77 		
1993	7	-4.32	1.04	-5.77 	3.27 	-7.06 	2.14 	-7.31 	3.18 		
1993	8	-4.3	0.67	-5.82 	3.36 	-7.11 	2.22 	-7.33 	2.65 		
1993	9	-4.33	0.9	-5.82 	3.77 	-7.10 	3.03 	-7.25 	3.11 		
1993	10	-4.34	0.85	-5.85 	3.29 	-7.15 	2.51 	-7.25 	2.59 		
1993	11	-4.3	1.01	-5.81 	3.46 	-7.12 	3.03 	-7.19 	1.54 		
1993	12	-4.26	0.99	-5.85 	3.24 	-7.17 	2.29 	-7.23 	1.05 		
