%%% Global Ocean Heat Content estimate from 1993 to 2019 (Monthly)  v1.0.1
%%%Deep-sea remote sensing retrieval algorithm for retrieving ocean internal information from remote sensing data, firstly Published in remote sensing
%%% Su and Lu, 2020, OPEN: A New Estimation of Global Ocean Heat Content for Upper 2000 Meters from Remote Sensing Data,remote sensing. 2020, 12, 2294; doi:10.3390/rs12142294

%%% Update date: Dec. 2020 by HaoJie.Zhang and Wenfang.Lu
%%% unit of OHC:  *10^22 Joules
%%% OHC is 12-month running mean.
%%% Baseline: 1993-2015
%%% Note: [Error] refers to 95% CI is OHC+/-Error 2 (/sigma
%%% Link to OPEN data: https://github.com/scenty/OPEN-OHC/
[year]	[month]	[ OHC0-300m]	[ Error]	[ OHC0-700m]	[ Error]	[OHC0-1500m]	[ Error]	[OHC0-2000m]	[Error]
1993	1	-5.69 	0.36 	-8.15 	0.43 	-9.97 	0.60 	-10.44 	0.65 
1993	2	-5.72 	0.36 	-8.15 	0.43 	-9.96 	0.59 	-10.45 	0.65 
1993	3	-5.70 	0.36 	-8.14 	0.41 	-9.94 	0.59 	-10.48 	0.65 
1993	4	-5.73 	0.36 	-8.25 	0.43 	-10.13 	0.58 	-10.68 	0.67 
1993	5	-5.71 	0.36 	-8.22 	0.44 	-10.13 	0.58 	-10.69 	0.67 
1993	6	-5.73 	0.36 	-8.28 	0.45 	-10.28 	0.57 	-10.80 	0.68 
1993	7	-5.73 	0.35 	-8.30 	0.44 	-10.34 	0.59 	-10.86 	0.72 
1993	8	-5.67 	0.33 	-8.24 	0.41 	-10.38 	0.52 	-10.83 	0.67 
1993	9	-5.66 	0.31 	-8.14 	0.36 	-10.31 	0.45 	-10.79 	0.65 
1993	10	-5.67 	0.29 	-8.17 	0.35 	-10.41 	0.44 	-10.89 	0.64 
1993	11	-5.65 	0.29 	-8.07 	0.33 	-10.29 	0.41 	-10.81 	0.67 
1993	12	-5.64 	0.30 	-8.17 	0.32 	-10.43 	0.44 	-10.98 	0.64 
1994	1	-5.68 	0.33 	-8.22 	0.33 	-10.49 	0.46 	-11.08 	0.67 
1994	2	-5.68 	0.34 	-8.25 	0.32 	-10.54 	0.51 	-11.12 	0.70 
1994	3	-5.69 	0.35 	-8.22 	0.36 	-10.54 	0.58 	-11.05 	0.68 
1994	4	-5.64 	0.36 	-8.00 	0.35 	-10.19 	0.67 	-10.71 	0.65 
1994	5	-5.70 	0.38 	-8.05 	0.39 	-10.17 	0.72 	-10.71 	0.65 
1994	6	-5.66 	0.39 	-7.88 	0.39 	-9.77 	0.80 	-10.40 	0.67 
1994	7	-5.65 	0.41 	-7.82 	0.41 	-9.54 	0.84 	-10.22 	0.63 
1994	8	-5.61 	0.40 	-7.75 	0.41 	-9.37 	0.84 	-10.02 	0.59 
1994	9	-5.54 	0.42 	-7.74 	0.47 	-9.33 	0.78 	-9.97 	0.59 
1994	10	-5.49 	0.43 	-7.58 	0.48 	-9.07 	0.75 	-9.70 	0.55 
1994	11	-5.45 	0.43 	-7.57 	0.44 	-9.06 	0.76 	-9.63 	0.49 
1994	12	-5.44 	0.42 	-7.50 	0.44 	-8.98 	0.73 	-9.52 	0.47 
1995	1	-5.36 	0.41 	-7.46 	0.45 	-8.91 	0.75 	-9.39 	0.45 
1995	2	-5.26 	0.40 	-7.39 	0.47 	-8.84 	0.69 	-9.27 	0.42 
1995	3	-5.31 	0.38 	-7.51 	0.48 	-8.90 	0.65 	-9.31 	0.39 
1995	4	-5.33 	0.37 	-7.60 	0.46 	-9.03 	0.59 	-9.40 	0.38 
1995	5	-5.26 	0.35 	-7.60 	0.45 	-9.07 	0.52 	-9.38 	0.42 
1995	6	-5.30 	0.34 	-7.74 	0.45 	-9.42 	0.48 	-9.68 	0.43 
1995	7	-5.32 	0.36 	-7.83 	0.41 	-9.70 	0.46 	-9.86 	0.38 
1995	8	-5.34 	0.36 	-7.87 	0.41 	-9.81 	0.50 	-10.00 	0.39 
1995	9	-5.27 	0.35 	-7.78 	0.41 	-9.72 	0.55 	-9.92 	0.37 
1995	10	-5.17 	0.37 	-7.71 	0.42 	-9.74 	0.54 	-9.94 	0.37 
1995	11	-5.07 	0.37 	-7.60 	0.45 	-9.63 	0.54 	-9.86 	0.40 
1995	12	-4.94 	0.34 	-7.41 	0.40 	-9.44 	0.55 	-9.71 	0.39 
1996	1	-4.91 	0.32 	-7.43 	0.39 	-9.52 	0.47 	-9.77 	0.43 
1996	2	-4.91 	0.30 	-7.44 	0.39 	-9.53 	0.46 	-9.82 	0.39 
1996	3	-4.80 	0.27 	-7.34 	0.37 	-9.43 	0.44 	-9.74 	0.35 
1996	4	-4.67 	0.25 	-7.30 	0.38 	-9.39 	0.45 	-9.68 	0.43 
1996	5	-4.57 	0.24 	-7.15 	0.36 	-9.22 	0.49 	-9.56 	0.41 
1996	6	-4.48 	0.23 	-7.16 	0.39 	-9.14 	0.48 	-9.49 	0.39 
1996	7	-4.39 	0.21 	-7.06 	0.37 	-8.93 	0.49 	-9.33 	0.45 
1996	8	-4.29 	0.19 	-6.98 	0.36 	-8.89 	0.45 	-9.23 	0.47 
1996	9	-4.25 	0.19 	-7.03 	0.37 	-9.04 	0.38 	-9.27 	0.51 
1996	10	-4.24 	0.18 	-7.13 	0.37 	-9.15 	0.30 	-9.34 	0.51 
1996	11	-4.28 	0.18 	-7.18 	0.34 	-9.13 	0.32 	-9.31 	0.52 
1996	12	-4.29 	0.20 	-7.27 	0.35 	-9.16 	0.31 	-9.28 	0.49 
1997	1	-4.13 	0.20 	-6.93 	0.32 	-8.63 	0.36 	-8.77 	0.50 
1997	2	-4.05 	0.23 	-6.68 	0.32 	-8.18 	0.38 	-8.32 	0.53 
1997	3	-3.92 	0.25 	-6.43 	0.31 	-7.77 	0.32 	-7.88 	0.53 
1997	4	-3.72 	0.27 	-5.97 	0.32 	-7.07 	0.34 	-7.18 	0.50 
1997	5	-3.55 	0.28 	-5.57 	0.35 	-6.40 	0.35 	-6.47 	0.57 
1997	6	-3.46 	0.30 	-5.21 	0.38 	-5.86 	0.37 	-5.86 	0.69 
1997	7	-3.22 	0.33 	-4.72 	0.41 	-5.16 	0.33 	-5.13 	0.80 
1997	8	-3.06 	0.33 	-4.38 	0.42 	-4.58 	0.32 	-4.52 	0.83 
1997	9	-2.97 	0.32 	-4.00 	0.47 	-3.89 	0.34 	-3.79 	0.79 
1997	10	-2.85 	0.32 	-3.66 	0.49 	-3.30 	0.37 	-3.16 	0.80 
1997	11	-2.67 	0.32 	-3.34 	0.50 	-2.88 	0.35 	-2.65 	0.74 
1997	12	-2.56 	0.32 	-3.03 	0.45 	-2.45 	0.34 	-2.20 	0.77 
1998	1	-2.49 	0.32 	-2.97 	0.43 	-2.49 	0.37 	-2.19 	0.78 
1998	2	-2.39 	0.31 	-2.80 	0.42 	-2.48 	0.40 	-2.13 	0.79 
1998	3	-2.36 	0.31 	-2.70 	0.43 	-2.53 	0.46 	-2.11 	0.85 
1998	4	-2.44 	0.32 	-2.77 	0.43 	-2.80 	0.48 	-2.35 	0.86 
1998	5	-2.55 	0.33 	-2.97 	0.41 	-3.25 	0.51 	-2.83 	0.86 
1998	6	-2.60 	0.33 	-3.17 	0.43 	-3.74 	0.46 	-3.35 	0.82 
1998	7	-2.78 	0.32 	-3.49 	0.45 	-4.34 	0.48 	-4.01 	0.80 
1998	8	-2.92 	0.29 	-3.72 	0.46 	-4.80 	0.49 	-4.54 	0.80 
1998	9	-2.97 	0.27 	-3.82 	0.41 	-5.04 	0.53 	-4.91 	0.89 
1998	10	-3.00 	0.26 	-3.92 	0.39 	-5.38 	0.53 	-5.31 	0.96 
1998	11	-3.18 	0.25 	-4.20 	0.37 	-5.93 	0.58 	-5.99 	1.05 
1998	12	-3.32 	0.24 	-4.46 	0.38 	-6.35 	0.54 	-6.49 	1.06 
1999	1	-3.42 	0.20 	-4.56 	0.30 	-6.48 	0.51 	-6.71 	0.97 
1999	2	-3.58 	0.19 	-4.79 	0.25 	-6.71 	0.50 	-7.03 	0.95 
1999	3	-3.68 	0.18 	-4.97 	0.22 	-6.87 	0.47 	-7.30 	0.86 
1999	4	-3.72 	0.19 	-5.06 	0.20 	-6.95 	0.44 	-7.43 	0.84 
1999	5	-3.73 	0.20 	-5.04 	0.23 	-6.92 	0.38 	-7.39 	0.75 
1999	6	-3.70 	0.20 	-4.95 	0.24 	-6.75 	0.40 	-7.22 	0.69 
1999	7	-3.66 	0.21 	-4.95 	0.23 	-6.70 	0.42 	-7.19 	0.64 
1999	8	-3.60 	0.21 	-4.95 	0.22 	-6.63 	0.44 	-7.17 	0.62 
1999	9	-3.49 	0.20 	-4.86 	0.23 	-6.59 	0.42 	-7.10 	0.58 
1999	10	-3.42 	0.20 	-4.69 	0.26 	-6.38 	0.41 	-6.88 	0.57 
1999	11	-3.36 	0.21 	-4.62 	0.27 	-6.26 	0.38 	-6.71 	0.57 
1999	12	-3.36 	0.22 	-4.63 	0.28 	-6.28 	0.38 	-6.72 	0.55 
2000	1	-3.39 	0.22 	-4.66 	0.29 	-6.31 	0.37 	-6.76 	0.60 
2000	2	-3.33 	0.21 	-4.59 	0.30 	-6.24 	0.36 	-6.71 	0.59 
2000	3	-3.29 	0.22 	-4.61 	0.26 	-6.29 	0.31 	-6.71 	0.60 
2000	4	-3.22 	0.23 	-4.55 	0.22 	-6.21 	0.31 	-6.62 	0.56 
2000	5	-3.09 	0.22 	-4.43 	0.20 	-6.05 	0.33 	-6.46 	0.53 
2000	6	-3.00 	0.21 	-4.35 	0.14 	-5.92 	0.38 	-6.35 	0.49 
2000	7	-2.89 	0.21 	-4.15 	0.10 	-5.67 	0.37 	-6.11 	0.42 
2000	8	-2.75 	0.23 	-3.86 	0.06 	-5.35 	0.36 	-5.77 	0.37 
2000	9	-2.70 	0.26 	-3.74 	0.10 	-5.16 	0.34 	-5.64 	0.33 
2000	10	-2.63 	0.26 	-3.78 	0.14 	-5.23 	0.39 	-5.70 	0.31 
2000	11	-2.48 	0.25 	-3.53 	0.20 	-4.89 	0.41 	-5.35 	0.30 
2000	12	-2.25 	0.26 	-3.27 	0.25 	-4.62 	0.42 	-5.04 	0.36 
2001	1	-2.07 	0.27 	-3.10 	0.22 	-4.39 	0.43 	-4.75 	0.40 
2001	2	-1.87 	0.27 	-2.93 	0.23 	-4.18 	0.38 	-4.49 	0.39 
2001	3	-1.68 	0.27 	-2.69 	0.24 	-3.95 	0.37 	-4.26 	0.36 
2001	4	-1.56 	0.24 	-2.52 	0.24 	-3.75 	0.33 	-4.04 	0.33 
2001	5	-1.54 	0.24 	-2.60 	0.28 	-3.93 	0.32 	-4.20 	0.30 
